id,source_id,publisher_id,period_id,score,data,schema,summary,run_id,timestamp,report
c2eebb0625814117ac16a89d467d0021,6e2866de-b95a-46e0-95a7-c83ebf64f979,gb_cabinet-office,2010-04-01,5,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85792/Spend-Transactions-with-descriptions-CO-04-April-2010.csv_.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
8abd13fa66c941bea671029235a1f944,a52077d4-6a5d-49b5-a7e8-175cfc58cbda,gb_cabinet-office,2010-05-01,9,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85793/Spend-Transactions-with-descriptions-CO-1-11_May_2010.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
fd8b40a125f84a5787d7dc91fc1ee740,ce547a3a-6de6-4e47-9009-9bfe31d5a6c7,gb_cabinet-office,2010-05-12,10,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85794/Spend-Transactions-with-descriptions-CO-05-May-2010-after-12th.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
982d82f3555d4b1bb81bb0eede665cf0,a9c06f23-3da5-47f0-8ed7-de1b30ed672f,gb_cabinet-office,2010-06-01,10,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85795/Spend-Transactions-with-descriptions-CO-06-Jun-2010.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
b0869cfd16a148059764385a33b0da8a,a4e87de1-4ac9-4202-b1ea-98aca8014037,gb_cabinet-office,2010-07-01,10,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85796/Spend-Transactions-with-descriptions-CO-07-Jul-2010.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
0c5750f9e3b04734a61aded32f928bb7,122957db-ddec-4f49-86a1-358778661c4a,gb_cabinet-office,2010-08-01,10,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85797/Spend-Transactions-with-descriptions-CO-08-Aug-2010.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
dd81f0d42ef94c75bf616a2c430848f4,67746f29-55a6-4ef2-9d32-f47075a9517f,gb_cabinet-office,2010-09-01,10,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85798/Spend-Transactions-with-descriptions-CO-09-Sep-2010.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
6ab093768ff3495b88bd02b76a5cbfdd,319a39e0-8993-4be0-a826-404fb9638ac7,gb_cabinet-office,2010-10-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85799/co-spend-data-oct2010.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
c848ef1b515c49a3a502327be69469b1,fd559e2b-446a-4721-b234-23f7d959f6ca,gb_cabinet-office,2010-11-01,3,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85800/co-spend-data-nov2010.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
40bf0906787e49998d06b69898ca0af8,b418f85c-92b6-4682-ba2c-f34a75a0a5bc,gb_cabinet-office,2010-12-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85801/Spend-Transactions-with-descriptions-CO-10-Dec-2010.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
67e8da850c6f4163a56f9064a8b527e4,2b39cf80-dd3e-4787-bc72-4f23885c227f,gb_cabinet-office,2011-01-01,10,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85802/spend-transactions-with-descriptions-co-jan-2011.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
e05f25b25ba84704b208a12582922b2a,8a707560-f1f0-4737-a2d4-243835cae7b8,gb_cabinet-office,2011-02-01,9,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85803/spend-transactions-with-descriptions-co-feb-2011.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
ee8774b3ebbb4377a8df3107daabd498,601c1b47-2f9a-430c-a608-07dfaef23d56,gb_cabinet-office,2011-03-01,8,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85804/spendtransactionswithdescriptionscomarch2011.csv ,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
09bdde1a87bb4d90999e51eb2b95dce2,fe1dd9b8-2937-452a-ae17-77694296c702,gb_cabinet-office,2011-04-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85805/spend-transactions-with-descriptions-co-april-2011.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
